Date,Open,High,Low,Close,Adj Close,Volume,,RETURNS,Probability,PiXi,Xi-r,(Xi-r)^2,P*(Xi-r)^2,SQRT(P*(Xi-r)^2)
18-08-2022,221.399994,222.550003,220.600006,221.75,212.726273,152056,,,0.401606426,,,,,
19-08-2022,221.75,221.800003,215.649994,217.149994,208.313461,392225,,-0.020744108,0.401606426,-0.008330967,-0.044608361,0.001989906,0.000799159,0.0282694
22-08-2022,212.550003,220.899994,212.550003,218.199997,209.32074,461801,,0.004835381,0.401606426,0.00194192,-0.019028872,0.000362098,0.000145421,0.012059057
23-08-2022,217.399994,223.600006,216.600006,222.850006,213.781525,348262,,0.021310766,0.401606426,0.00855854,-0.002553487,6.5203E-06,2.61859E-06,0.001618207
24-08-2022,223.199997,225.899994,222.149994,223.649994,214.54895,487619,,0.003589805,0.401606426,0.001441689,-0.020274448,0.000411053,0.000165082,0.012848409
25-08-2022,223.050003,227.100006,223.050003,224.850006,215.700134,398948,,0.00536558,0.401606426,0.002154852,-0.018498673,0.000342201,0.00013743,0.011723057
26-08-2022,227,232,225.850006,229.899994,220.544617,373844,,0.022459363,0.401606426,0.009019825,-0.001404889,1.97371E-06,7.92656E-07,0.000890312
29-08-2022,223.800003,231.550003,222.100006,230.600006,221.216156,352550,,0.003044854,0.401606426,0.001222833,-0.020819398,0.000433447,0.000174075,0.013193758
30-08-2022,232,235.399994,231,234.850006,225.293198,636378,,0.018430182,0.401606426,0.007401679,-0.005434071,2.95291E-05,1.18591E-05,0.003443703
01-09-2022,234.550003,236.75,229.550003,230.149994,220.784454,485236,,-0.020012825,0.401606426,-0.008037279,-0.043877078,0.001925198,0.000773172,0.027805968
02-09-2022,231.949997,232.449997,228.199997,229.199997,219.873108,350519,,-0.00412773,0.401606426,-0.001657723,-0.027991983,0.000783551,0.000314679,0.017739198
05-09-2022,230.850006,232.350006,228.600006,231.600006,222.175461,178276,,0.010471244,0.401606426,0.004205319,-0.013393009,0.000179373,7.20372E-05,0.008487475
06-09-2022,233.300003,234.550003,231,232.75,223.278656,377124,,0.004965432,0.401606426,0.001994149,-0.018898821,0.000357165,0.00014344,0.011976641
07-09-2022,232.949997,239.199997,232.550003,238.75,229.0345,763425,,0.025778733,0.401606426,0.010352905,0.00191448,3.66523E-06,1.47198E-06,0.001213252
08-09-2022,241.850006,241.850006,235.050003,236.25,226.63623,293294,,-0.010471204,0.401606426,-0.004205303,-0.034335457,0.001178924,0.000473463,0.021759212
09-09-2022,236.649994,237.949997,233.550003,237.5,227.835373,245147,,0.005291005,0.401606426,0.002124902,-0.018573248,0.000344966,0.00013854,0.011770317
12-09-2022,237.5,239,228.050003,231.5,222.079529,781060,,-0.025263158,0.401606426,-0.010145847,-0.049127411,0.002413502,0.000969278,0.031133232
13-09-2022,233,235.300003,230.850006,231.300003,221.887665,715388,,-0.000863918,0.401606426,-0.000346955,-0.024728171,0.000611482,0.000245575,0.015670841
14-09-2022,229,233.800003,229,231.949997,222.511215,698801,,0.002810177,0.401606426,0.001128585,-0.021054076,0.000443274,0.000178022,0.013342478
15-09-2022,232.899994,234.850006,232.300003,234.149994,224.621674,515669,,0.00948479,0.401606426,0.003809153,-0.014379463,0.000206769,8.30397E-05,0.009112614
16-09-2022,234.149994,234.149994,229.600006,230.949997,221.551895,285159,,-0.013666441,0.401606426,-0.00548853,-0.037530693,0.001408553,0.000565684,0.023784111
19-09-2022,230,232.550003,228.550003,229.850006,220.496674,1502531,,-0.004762897,0.401606426,-0.00191281,-0.02862715,0.000819514,0.000329122,0.018141719
20-09-2022,229.899994,233.75,228.800003,229.949997,220.59259,229962,,0.000435027,0.401606426,0.00017471,-0.023429226,0.000548929,0.000220453,0.014847668
21-09-2022,229.300003,232.699997,227.199997,231.449997,222.031555,499990,,0.006523157,0.401606426,0.002619742,-0.017341096,0.000300714,0.000120769,0.010989473
22-09-2022,229,231.149994,225.5,227.100006,217.858582,218125,,-0.018794517,0.401606426,-0.007547999,-0.04265877,0.001819771,0.000730832,0.027033897
23-09-2022,225.050003,227.050003,221,222.800003,213.733551,329811,,-0.018934403,0.401606426,-0.007604178,-0.042798656,0.001831725,0.000735633,0.027122546
26-09-2022,222.050003,222.100006,212.5,215.699997,206.92247,335407,,-0.031867172,0.401606426,-0.012798061,-0.055731425,0.003105992,0.001247386,0.035318355
27-09-2022,214.5,219.550003,212.699997,213.800003,205.099808,336402,,-0.008808503,0.401606426,-0.003537551,-0.032672755,0.001067509,0.000428718,0.020705517
28-09-2022,212.100006,213.350006,209,210.649994,202.077972,192022,,-0.014733438,0.401606426,-0.005917043,-0.03859769,0.001489782,0.000598306,0.024460292
29-09-2022,211.199997,215,210.800003,213.550003,204.85997,164186,,0.013766955,0.401606426,0.005528898,-0.010097298,0.000101955,4.0946E-05,0.006398902
30-09-2022,213.550003,216.100006,207.899994,212.300003,203.660828,299545,,-0.00585343,0.401606426,-0.002350775,-0.029717683,0.000883141,0.000354675,0.018832816
03-10-2022,212.850006,218,212.25,215.149994,206.394852,444957,,0.013424357,0.401606426,0.005391308,-0.010439896,0.000108991,4.37717E-05,0.006616015
04-10-2022,218,223.850006,218,223.300003,214.213211,544623,,0.037880591,0.401606426,0.015213089,0.014016339,0.000196458,7.88987E-05,0.008882494
06-10-2022,223.850006,233.949997,223.850006,233.399994,223.902191,662779,,0.045230591,0.401606426,0.018164896,0.021366338,0.00045652,0.000183342,0.013540366
07-10-2022,233,233.149994,227.850006,229.899994,220.544617,363311,,-0.014995716,0.401606426,-0.006022376,-0.038859969,0.001510097,0.000606465,0.024626505
10-10-2022,226,232.050003,226,229.899994,220.544617,363728,,0,0.401606426,0,-0.023864253,0.000569503,0.000228716,0.015123356
11-10-2022,230.399994,231,224.300003,225.350006,216.179794,2277774,,-0.019791162,0.401606426,-0.007948258,-0.043655415,0.001905795,0.00076538,0.027665495
